,gameid,gamerank,matchingmode,avg_ranktier,avg_getmmr,avg_rankpoint,characterNum_1,weaponCode_1,damage_1,playerkill_1,characterNum_2,weaponCode_2,damage_2,playerkill_2,characterNum_3,weaponCode_3,damage_3,playerkill_3,total_damage,total_kill,avg_damage,avg_kill,max_damage,min_damage,max_kill,min_kill,main_melee_cnt,main_ranged_cnt,main_support_cnt,sub_bruiser_cnt,sub_assassin_cnt,sub_poke_cnt,sub_sustain_cnt,sub_util_cnt,sub_tank_cnt,sub_nuker_cnt
characterNum_2,-0.005164684390450502,0.01739951779073241,,-0.06280494348929265,-0.0037599824460164345,-0.06324199762193576,-0.003642130816449776,0.004907486432764717,-0.02026313255106926,-0.0052151494987892795,1.0,0.17869342854222442,-0.022984406415865417,-0.03505727587027534,0.0012433219149106758,0.004931252089354399,-0.0171791598611754,-0.006917145598747442,-0.024782185505950287,-0.022257278544666068,-0.024781935467162647,-0.022275698203916294,-0.02165738670906314,-0.02778847877040395,-0.02269945059409865,-0.014990715299811993,0.03214237297299602,-0.052690637103441934,0.07526014699174227,0.06906730493108156,0.017923625332499485,-0.04774064390996459,-0.08633942993489509,0.002931930635873037,-0.044954486577563894,0.067494144351851
weaponCode_2,-0.0014876538763251897,0.0038307640628467256,,-0.010306032907273215,0.002841249393056201,-0.010277969951154526,0.00293698382904614,-0.007311799746556501,-0.018028817648803094,-0.0008045403406406543,0.17869342854222442,1.0,0.022221837881764437,-0.010370215070925027,0.0012749803097053646,-0.010824197808833544,-0.014934748416149352,0.0008763968305188807,-0.004392804318292705,-0.004863348561283134,-0.0043927141703821206,-0.004994167738624343,-0.008571486288084516,0.0009690060258951726,-0.0027263676999975213,-0.005982211280680897,-0.035124511272703926,0.016024410802606644,0.06621497444135782,0.042507255531865656,0.004669162974614531,-0.04860094122101339,-0.14456692537640306,0.10303253328931875,-0.07167054084703595,0.12823287084951598
damage_2,0.00425757454836203,-0.5620626535137284,,0.16486290428988573,0.5917781726002237,0.1828108921545668,-0.017994662168098568,-0.006574836027848373,0.4875657029641543,0.3844399436640645,-0.022984406415865417,0.022221837881764437,1.0,0.6904479878931917,-0.01464704432999116,-0.014741438192403639,0.4969883900524487,0.3890825711362733,0.8138629745383064,0.6900741722344329,0.8138630205663211,0.6818339826118203,0.7717148055394932,0.7197870502126497,0.6346754749553067,0.5283605933623052,-0.02028570747327738,0.026669197953781035,-0.023973028474325763,-0.029121376724430943,0.012720708515132795,0.02720695388649852,-0.008501575393097953,0.023397069461738383,-0.011245980099786992,0.009345414528373078
playerkill_2,0.0006945003755446906,-0.45539619604114956,,0.09668805239500425,0.5834747543104388,0.11398834866625784,-0.007446356699795223,0.0036936115493725018,0.3846491777433661,0.25318412215208863,-0.03505727587027534,-0.010370215070925027,0.6904479878931917,1.0,-0.0035754539725704887,-0.003401771682543559,0.38481337044534736,0.250629071211488,0.5986901115717246,0.709217663628042,0.5986901306928518,0.7012541150921883,0.5578836953188421,0.5418489752783181,0.6519946372114476,0.5460723045689042,0.0033868755469127973,0.0007620909312003949,-0.0146275646428088,0.003574965447116321,0.0036389985777124725,-0.008610059085311553,0.009135158757419486,-0.0005092799291995663,-0.016998955332295847,0.003815531974921547
characterNum_3,-0.008740992536315701,0.01875949081239657,,-0.05207900330981503,-0.0017650703793749153,-0.05240679356519274,-0.004192044971929779,-0.00012860795741092247,-0.013573513922922628,-0.0040552011101724185,0.0012433219149106758,0.0012749803097053646,-0.01464704432999116,-0.0035754539725704887,1.0,0.16348030443802056,-0.010242621458824,-0.02632975433961203,-0.015777027178123928,-0.015963090623914673,-0.015777229933355723,-0.0161419734576052,-0.01320163576547582,-0.01989783033616739,-0.015167358480688545,-0.01210757900896985,0.03490586514663094,-0.054207477383428744,0.07096544048809907,0.07641880099291054,0.012511210307820797,-0.05619978979628615,-0.08714129968395631,-0.0011396317918674521,-0.04926714187545423,0.07588977408465987
weaponCode_3,-0.003826705592154285,0.005562409179780422,,-0.0017370979396482144,6.337301197584915e-05,-0.00175270426848016,0.0012278339188721051,-0.004561906253776175,-0.01266954971207813,-0.0009954797390841722,0.004931252089354399,-0.010824197808833544,-0.014741438192403639,-0.003401771682543559,0.16348030443802056,1.0,0.02576577921297938,-0.00656336176692995,-0.0007542131583396411,-0.005156942813616236,-0.0007543511230688397,-0.005349151375282178,-0.006408568858090171,0.005893250989963111,-0.0044842695246522105,-0.004030406722538854,-0.025288213346348995,0.006972459330863538,0.06397895926399094,0.0450519536686528,0.006645509842088332,-0.05031077610899634,-0.14178337620884013,0.11298044691553405,-0.07282150680893361,0.11378029841195181
damage_3,0.0024986182295985795,-0.5639772870306564,,0.15365341864493717,0.5902403423382009,0.1715016014336666,-0.014243894207361796,-0.008867723790728867,0.4899602203526777,0.3824112751275877,-0.0171791598611754,-0.014934748416149352,0.4969883900524487,0.38481337044534736,-0.010242621458824,0.02576577921297938,1.0,0.6837588577644209,0.8135976587816519,0.68319022915393,0.813597687596238,0.6757016316794525,0.7736817285394385,0.713540022588157,0.6275794404917037,0.5256754572039959,-0.018099703379560222,0.023818955089352056,-0.021474171682867405,-0.029067429135156315,0.019588323116143273,0.024441798957524595,-0.010566259882059994,0.021648651877761944,-0.009673118958870642,0.0109421415776823
playerkill_3,0.0011046508647857029,-0.454246493945696,,0.0880333671662318,0.5813212137861915,0.10521968976173889,-0.00283510280584237,0.009917770257825413,0.3828254254348403,0.24804195730593273,-0.006917145598747442,0.0008763968305188807,0.3890825711362733,0.250629071211488,-0.02632975433961203,-0.00656336176692995,0.6837588577644209,1.0,0.5962027876276756,0.7048733979585764,0.5962027298683054,0.6967543561665395,0.5557458199991637,0.5366976496463536,0.6466635219101804,0.5442058118862159,0.008083315921798825,-0.004251849999337267,-0.013222969698261826,0.009135225088937077,0.0058054082284640035,-0.01631854944394693,0.004741223259857463,-0.003934487060161696,-0.016621306599825147,0.009940973644375588
total_damage,0.0049898194543628194,-0.6909495233052716,,0.20081298486577165,0.7265610090983374,0.2228428362584223,-0.023854549331482396,0.0058726879934072294,0.8115981002688948,0.5987833489866397,-0.024782185505950287,-0.004392804318292705,0.8138629745383064,0.5986901115717246,-0.015777027178123928,-0.0007542131583396411,0.8135976587816519,0.5962027876276756,1.0,0.845199089510794,0.9999999991298122,0.8355776096507879,0.9480908585658541,0.8854903877605002,0.7763278225607028,0.6499369779035656,-0.02324283158835826,0.03138077916854998,-0.030411153300047167,-0.033569789328397305,0.018797533073734038,0.03092968494884543,-0.013433067363423173,0.028054494446518533,-0.01620864077783109,0.014817882124104778
total_kill,0.0022285630136804,-0.6414034454522501,,0.13617792344696283,0.8223194452682359,0.16056077545490147,-0.02265527156800147,0.003192007659015278,0.6881923984503366,0.7080999634407995,-0.022257278544666068,-0.004863348561283134,0.6900741722344329,0.709217663628042,-0.015963090623914673,-0.005156942813616236,0.68319022915393,0.7048733979585764,0.845199089510794,1.0,0.8451990728442724,0.9885963294332706,0.786825475080459,0.7657941155845144,0.9177173719687165,0.7725188230727719,0.008992760101931471,-0.003405460845509091,-0.019443473545458723,0.00879845146608715,0.007807045470333319,-0.01993040755005525,0.008332359442281593,-0.0001412678366890262,-0.022889206991579005,0.010511916044588038
